id,symbol,side,entry_rsi,volume_ratio,entry_time,exit_time,exit_reason,pnl_pct,pnl_amount,source,created_at,entry_price,exit_price,quantity,hold_minutes,entry_hour,day_of_week
71,RELIANCE,LONG,26.952423868306994,1.605730726451117,2026-06-02T10:45:00+05:30,2026-06-02T13:00:00+05:30,RSI mid-line exit,0.7494073564273116,107.7999999999995,backtest,2026-06-18 15:16:24,,,,,,
100,SBIN,LONG,29.905018034164854,1.1690976795489867,2026-06-02T12:15:00+05:30,2026-06-02T12:45:00+05:30,RSI mid-line exit,1.3925799936217613,196.49999999999864,backtest,2026-06-18 15:16:27,,,,,,
204,HDFCBANK,LONG,29.127883401797277,1.5713666237931194,2026-06-02T09:15:00+05:30,2026-06-02T10:45:00+05:30,RSI mid-line exit,1.2434599442821195,182.99999999999955,backtest,2026-06-18 15:16:34,,,,,,
171,INFY,SHORT,75.44846653025706,5.312624022300753,2026-06-02T09:15:00+05:30,2026-06-02T10:15:00+05:30,stop loss (-1.82%),-1.8237326263356668,-272.40000000000055,backtest,2026-06-18 15:16:32,,,,,,
132,TCS,SHORT,70.38724212330627,6.903985133397391,2026-06-02T09:15:00+05:30,2026-06-02T10:00:00+05:30,stop loss (-1.95%),-1.9534883720930156,-277.1999999999989,backtest,2026-06-18 15:16:29,,,,,,
70,RELIANCE,LONG,24.402235417820776,6.0386394976692745,2026-05-29T15:15:00+05:30,2026-06-01T15:15:00+05:30,EOD square-off,-0.12860276874196575,-18.7000000000005,backtest,2026-06-18 15:16:24,,,,,,
99,SBIN,LONG,25.318777981810044,1.0287800755044265,2026-06-01T14:15:00+05:30,2026-06-01T15:15:00+05:30,EOD square-off,0.4049860621679927,57.75000000000034,backtest,2026-06-18 15:16:27,,,,,,
131,TCS,LONG,28.20575496425208,14.663199740578616,2026-05-29T15:00:00+05:30,2026-05-29T15:15:00+05:30,EOD square-off,0.11982425775528414,16.19999999999891,backtest,2026-06-18 15:16:29,,,,,,
170,INFY,LONG,25.160694462988403,15.154881009484207,2026-05-29T15:00:00+05:30,2026-05-29T15:15:00+05:30,EOD square-off,-0.3618817852834584,-50.39999999999782,backtest,2026-06-18 15:16:32,,,,,,
203,HDFCBANK,LONG,21.082733397210333,2.677569284616625,2026-05-29T09:15:00+05:30,2026-05-29T15:15:00+05:30,EOD square-off,-0.5125815470643087,-73.15000000000043,backtest,2026-06-18 15:16:34,,,,,,
69,RELIANCE,LONG,27.7745715059108,1.5212713149240746,2026-05-29T10:15:00+05:30,2026-05-29T15:00:00+05:30,stop loss (-1.88%),-1.8811807569336143,-278.300000000002,backtest,2026-06-18 15:16:24,,,,,,
169,INFY,SHORT,80.7614960641075,7.315118151046586,2026-05-29T09:15:00+05:30,2026-05-29T14:00:00+05:30,RSI mid-line exit,0.4851932407562474,69.60000000000218,backtest,2026-06-18 15:16:32,,,,,,
130,TCS,SHORT,76.64355563542935,6.30310118858232,2026-05-29T09:15:00+05:30,2026-05-29T12:00:00+05:30,RSI mid-line exit,0.7183970225472761,99.59999999999945,backtest,2026-06-18 15:16:29,,,,,,
168,INFY,LONG,24.888227254811454,2.5385991275615547,2026-05-27T09:15:00+05:30,2026-05-27T15:15:00+05:30,RSI mid-line exit,0.22425392444366993,31.19999999999891,backtest,2026-06-18 15:16:32,,,,,,
202,HDFCBANK,LONG,20.670505294350107,5.868550711726484,2026-05-27T09:15:00+05:30,2026-05-27T15:15:00+05:30,EOD square-off,-0.8165665011758558,-118.75,backtest,2026-06-18 15:16:34,,,,,,
129,TCS,LONG,28.579450134926162,1.3621954067629345,2026-05-27T09:30:00+05:30,2026-05-27T15:00:00+05:30,RSI mid-line exit,0.43635401974610527,59.39999999999782,backtest,2026-06-18 15:16:29,,,,,,
128,TCS,LONG,29.040109378482597,1.1791461433934802,2026-05-26T11:30:00+05:30,2026-05-26T15:15:00+05:30,EOD square-off,-0.27538575862218506,-37.79999999999836,backtest,2026-06-18 15:16:29,,,,,,
98,SBIN,SHORT,81.35030516332895,5.02635565716761,2026-05-26T09:15:00+05:30,2026-05-26T12:30:00+05:30,RSI mid-line exit,0.7584298452393247,111.00000000000136,backtest,2026-06-18 15:16:27,,,,,,
201,HDFCBANK,SHORT,72.94345634863778,2.247215009031041,2026-05-26T09:15:00+05:30,2026-05-26T12:00:00+05:30,RSI mid-line exit,0.2855511136493432,42.75,backtest,2026-06-18 15:16:34,,,,,,
97,SBIN,SHORT,71.4696047668171,2.6664335060463418,2026-05-25T14:45:00+05:30,2026-05-25T15:15:00+05:30,EOD square-off,-0.5065123010130222,-73.49999999999966,backtest,2026-06-18 15:16:26,,,,,,
200,HDFCBANK,SHORT,77.20924306249954,4.486064432342862,2026-05-25T09:15:00+05:30,2026-05-25T15:15:00+05:30,EOD square-off,-0.30571301191008105,-45.60000000000173,backtest,2026-06-18 15:16:34,,,,,,
127,TCS,LONG,28.670312344738534,1.0429720904360944,2026-05-25T09:45:00+05:30,2026-05-25T11:00:00+05:30,RSI mid-line exit,0.801079716139148,110.40000000000055,backtest,2026-06-18 15:16:29,,,,,,
199,HDFCBANK,SHORT,74.56188439710252,1.6467364258781514,2026-05-22T10:00:00+05:30,2026-05-22T14:00:00+05:30,RSI mid-line exit,0.8722620662919169,128.25,backtest,2026-06-18 15:16:34,,,,,,
68,RELIANCE,SHORT,75.74136790407113,1.5085181347451353,2026-05-21T09:15:00+05:30,2026-05-21T10:45:00+05:30,RSI mid-line exit,0.6251838776110621,93.5,backtest,2026-06-18 15:16:24,,,,,,
67,RELIANCE,SHORT,71.80433915431163,1.5213258785407866,2026-05-20T11:30:00+05:30,2026-05-20T15:15:00+05:30,EOD square-off,-1.0398870979722201,-154.0,backtest,2026-06-18 15:16:24,,,,,,
167,INFY,SHORT,71.8542374671864,1.2771662680852898,2026-05-20T09:15:00+05:30,2026-05-20T15:15:00+05:30,RSI mid-line exit,0.8250687557296515,118.80000000000109,backtest,2026-06-18 15:16:31,,,,,,
198,HDFCBANK,LONG,29.40554147297898,1.0191229331234357,2026-05-20T09:15:00+05:30,2026-05-20T14:00:00+05:30,RSI mid-line exit,0.10530472554955304,15.199999999999136,backtest,2026-06-18 15:16:34,,,,,,
66,RELIANCE,LONG,26.678875761185992,4.132889269373326,2026-05-19T15:00:00+05:30,2026-05-19T15:15:00+05:30,EOD square-off,0.10594823671862141,15.3999999999985,backtest,2026-06-18 15:16:24,,,,,,
166,INFY,SHORT,89.9617418620677,2.0718861818933143,2026-05-19T09:30:00+05:30,2026-05-19T15:15:00+05:30,EOD square-off,-0.03351206434317116,-4.800000000001091,backtest,2026-06-18 15:16:31,,,,,,
126,TCS,SHORT,83.33551711018187,9.226047928877296,2026-05-19T09:15:00+05:30,2026-05-19T13:45:00+05:30,RSI mid-line exit,1.1098354381936433,156.59999999999945,backtest,2026-06-18 15:16:29,,,,,,
165,INFY,SHORT,71.45143099458176,2.4128462141600795,2026-05-18T15:15:00+05:30,2026-05-19T09:15:00+05:30,stop loss (-4.09%),-4.093924581005595,-609.7000000000012,backtest,2026-06-18 15:16:31,,,,,,
96,SBIN,LONG,17.656101151181318,1.3631108418109725,2026-05-18T09:15:00+05:30,2026-05-18T15:15:00+05:30,EOD square-off,-0.592969080897927,-84.00000000000034,backtest,2026-06-18 15:16:26,,,,,,
197,HDFCBANK,LONG,24.543476295717,2.1375758593937912,2026-05-18T09:15:00+05:30,2026-05-18T11:30:00+05:30,RSI mid-line exit,1.9602631404080004,280.25,backtest,2026-06-18 15:16:34,,,,,,
65,RELIANCE,LONG,29.714035063746422,1.3372640582198319,2026-05-15T09:30:00+05:30,2026-05-15T15:15:00+05:30,EOD square-off,-0.260707635009311,-38.5,backtest,2026-06-18 15:16:24,,,,,,
125,TCS,SHORT,72.6965614958988,2.7675729945370486,2026-05-15T09:15:00+05:30,2026-05-15T13:45:00+05:30,RSI mid-line exit,1.2394537705488387,171.0,backtest,2026-06-18 15:16:29,,,,,,
164,INFY,SHORT,73.45088307520973,2.4909018548501587,2026-05-15T09:15:00+05:30,2026-05-15T13:45:00+05:30,RSI mid-line exit,1.2743362831858487,187.20000000000118,backtest,2026-06-18 15:16:31,,,,,,
196,HDFCBANK,SHORT,70.106359482388,1.1940258548186586,2026-05-15T09:15:00+05:30,2026-05-15T13:30:00+05:30,RSI mid-line exit,0.9916192182202035,147.25,backtest,2026-06-18 15:16:34,,,,,,
163,INFY,LONG,19.535906764631733,1.3886735469148699,2026-05-14T11:15:00+05:30,2026-05-14T15:15:00+05:30,EOD square-off,-0.009139097057223215,-1.3000000000017735,backtest,2026-06-18 15:16:31,,,,,,
195,HDFCBANK,SHORT,72.83192100840087,2.744070573697483,2026-05-14T11:30:00+05:30,2026-05-14T15:15:00+05:30,EOD square-off,0.20733445639497505,30.400000000000432,backtest,2026-06-18 15:16:34,,,,,,
124,TCS,LONG,28.452945100980358,5.1762946852450265,2026-05-14T09:15:00+05:30,2026-05-14T12:00:00+05:30,stop loss (-1.55%),-1.5521064301552108,-210.0,backtest,2026-06-18 15:16:29,,,,,,
